function,time
density,0 days
betweenness_centrality,0 days 00:00:30.350361
number_connected_components,0 days 00:00:00.014524
average_clustering,0 days 00:00:07.162566
degree_assortativity_coefficient,0 days 00:00:00.760301
degree_pearson_correlation_coefficient,0 days 00:00:01.429004
spectral_bipartivity,0 days 00:00:00.705859
global_reaching_centrality,0 days 00:00:08.612805
edge_connectivity,0 days 00:00:08.845215
diameter,0 days 00:00:05.882615
global_efficiency,0 days 00:00:02.361647
number_of_isolates,0 days 00:00:00.003627
overall_reciprocity,0 days 00:00:02.053901
number_of_isolates,0 days 00:00:00.003992
overall_reciprocity,0 days 00:00:02.073037
average_neighbor_degree,0 days 00:00:00.207142
average_degree_connectivity,0 days 00:00:00.212224
average_degree_connectivity,0 days 00:00:00.203308
<lambda>,0 days 00:00:01.173711
clustering,0 days 00:00:06.697443
degree,0 days 00:00:00.019971
degree_centrality,0 days 00:00:00.008606
closeness_centrality,0 days 00:00:02.121649
betweenness_centrality,0 days 00:00:25.112599
eigenvector_centrality,0 days 00:00:01.231266
katz_centrality_numpy,0 days 00:00:01.040099
closeness_centrality,0 days 00:00:02.657538
current_flow_closeness_centrality,0 days 00:00:04.591382
approximate_current_flow_betweenness_centrality,0 days 00:00:52.165464
communicability_betweenness_centrality,0 days 00:00:58.931785
harmonic_centrality,0 days 00:00:02.464074
newman_betweenness_centrality,0 days 00:00:22.378424
subgraph_centrality,0 days 00:00:00.327194
second_order_centrality,0 days 00:00:04.158152
triangles,0 days 00:00:08.246773
square_clustering,0 days 00:13:05.190544
eccentricity,0 days 00:00:02.150011
pagerank_numpy,0 days 00:00:00.596170
density,0 days 00:00:00.003028
betweenness_centrality,0 days 00:00:27.329910
number_connected_components,0 days 00:00:00.023565
average_clustering,0 days 00:00:07.552831
degree_assortativity_coefficient,0 days 00:00:00.766888
degree_pearson_correlation_coefficient,0 days 00:00:01.617010
spectral_bipartivity,0 days 00:00:00.725659
global_reaching_centrality,0 days 00:00:08.966386
edge_connectivity,0 days 00:00:04.997237
diameter,0 days 00:00:02.369893
global_efficiency,0 days 00:00:02.459539
number_of_isolates,0 days 00:00:00.003986
overall_reciprocity,0 days 00:00:02.258349
wiener_index,0 days 00:00:02.473692
average_neighbor_degree,0 days 00:00:00.208334
average_degree_connectivity,0 days 00:00:00.223338
<lambda>,0 days 00:00:01.166323
clustering,0 days 00:00:07.465959
degree,0 days 00:00:00.011978
degree_centrality,0 days 00:00:00.010506
closeness_centrality,0 days 00:00:02.297519
betweenness_centrality,0 days 00:00:26.431182
eigenvector_centrality,0 days 00:00:01.185548
katz_centrality_numpy,0 days 00:00:00.935187
closeness_centrality,0 days 00:00:02.350365
approximate_current_flow_betweenness_centrality,0 days 00:01:00.729003
communicability_betweenness_centrality,0 days 00:01:06.895375
harmonic_centrality,0 days 00:00:02.772505
newman_betweenness_centrality,0 days 00:00:23.657251
subgraph_centrality,0 days 00:00:00.349542
second_order_centrality,0 days 00:00:04.312684
triangles,0 days 00:00:08.144531
square_clustering,0 days 00:15:03.735116
eccentricity,0 days 00:00:02.619836
pagerank_numpy,0 days 00:00:00.797760
density,0 days 00:00:00.014214
betweenness_centrality,0 days 00:00:26.181233
number_connected_components,0 days 00:00:00.022431
average_clustering,0 days 00:00:07.065126
degree_assortativity_coefficient,0 days 00:00:00.762010
degree_pearson_correlation_coefficient,0 days 00:00:01.395755
spectral_bipartivity,0 days 00:00:00.642040
global_reaching_centrality,0 days 00:00:08.533859
edge_connectivity,0 days 00:00:04.462493
diameter,0 days 00:00:02.307762
global_efficiency,0 days 00:00:02.452403
number_of_isolates,0 days 00:00:00.004000
overall_reciprocity,0 days 00:00:04.073978
wiener_index,0 days 00:00:05.365458
average_neighbor_degree,0 days 00:00:00.211510
average_degree_connectivity,0 days 00:00:00.211276
<lambda>,0 days 00:00:01.199329
clustering,0 days 00:00:11.836167
degree,0 days 00:00:00.011642
degree_centrality,0 days 00:00:00.008008
closeness_centrality,0 days 00:00:02.249376
betweenness_centrality,0 days 00:00:50.553616
eigenvector_centrality,0 days 00:00:01.121302
katz_centrality_numpy,0 days 00:00:00.835734
closeness_centrality,0 days 00:00:02.205751
approximate_current_flow_betweenness_centrality,0 days 00:01:49.341839
communicability_betweenness_centrality,0 days 00:01:12.348682
harmonic_centrality,0 days 00:00:06.324687
newman_betweenness_centrality,0 days 00:00:29.146607
subgraph_centrality,0 days 00:00:00.312610
second_order_centrality,0 days 00:00:03.555390
triangles,0 days 00:00:06.865214
average_neighbor_degree,0 days 00:00:00.210186
average_degree_connectivity,0 days 00:00:00.212174
<lambda>,0 days 00:00:01.185734
average_neighbor_degree,0 days 00:00:01.613700
average_degree_connectivity,0 days 00:00:01.617976
<lambda>,0 days 00:00:03.244668
